,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,0gDfkQYmyiq0eZFLof6hbh,0.41623843782117165,0.8828760946204992,0.6363636363636364,0.8061543177942557,1.0,0.033576642335766425,0.0003714859437751004,0.9638916750250752,0.10256410256410259,0.05868448098663926,0.5435371735518526,17
1,40gB8TLrDzmUDX2a5fkjgp,0.6587872559095581,0.7987871369121395,1.0,0.8000996340365196,1.0,0.0383733055265902,0.006967871485943775,0.9087261785356069,0.11487179487179489,0.02476875642343268,0.5121142709660768,17
2,3H6AYcFW5qsyGmiXmlWgFv,0.6526207605344296,0.9799788195932478,0.6363636363636364,0.787434615163534,1.0,0.132429614181439,0.32530120481927716,0.8294884653961885,0.26871794871794874,0.34121274409044194,0.4619392512057813,17
3,7Km7QsgosczwQY6f4IVbFR,0.512846865364851,0.612590159129343,0.6363636363636364,0.7080914333888985,1.0,0.07049009384775808,0.45180722891566266,0.954864593781344,0.8707692307692309,0.18088386433710174,0.7057691997483586,17
4,5eQoHbhjtlZoyu36bShjII,0.381294964028777,0.7167002972444549,0.8181818181818182,0.8319825257228257,1.0,0.045464025026068826,0.03534136546184739,0.6439317953861585,0.09692307692307693,0.0367934224049332,0.6613770909618827,17
5,2z0nkZLzKp1IbZzdQCaD6Z,0.6772867420349435,0.9299258685763672,0.7272727272727273,0.8200839225153762,1.0,0.05151199165797706,0.02248995983935743,0.6288866599799399,0.5815384615384616,0.03843782117163412,0.4778563708805833,17
6,1hEJVJBq6WYSrjKCczuvSt,0.4419321685508736,0.7987871369121395,0.4545454545454546,0.8432679963978463,1.0,0.0483837330552659,0.13755020080321287,0.641925777331996,0.21948717948717952,0.4357656731757451,0.34255480457471005,17
7,1VD1awiRcFq5IWTbzY3C2s,0.3042137718396711,0.7627490121799854,1.0,0.8988714529324979,1.0,0.03441084462982274,0.0006867469879518073,0.8986960882647944,0.18666666666666668,0.1541623843782117,0.37968399658025903,17
8,2MgPVcBvbw9y9R8tC3aH5q,0.7440904419321686,0.7867744286680881,0.6363636363636364,0.7942940353700829,1.0,0.05036496350364964,0.013855421686746989,0.8525576730190572,0.11384615384615386,0.03926002055498458,0.4435823399416063,17
9,1iBvoGIhy8YzeXoWqg4xYh,0.828365878725591,0.9349311636780552,0.4545454545454546,0.8169607786783162,1.0,0.057351407716371226,1.2349397590361447e-05,0.8686058174523571,0.35692307692307695,0.05405960945529291,0.4637902666430081,17
